imdb_ID,title,year,duration,total_votes,budget,USA_gross_income,worldwide_gross_income,tomatometer_status,audience_rating
tt0814255,Percy Jackson & the Olympians: The Lightning Thief,2010,118,174198,95000000.0,88768303.0,226497209.0,Rotten,53.0
tt0878835,Please Give,2010,87,10928,3000000.0,4033574.0,4313829.0,Certified-Fresh,64.0
tt0343996,The Lost City,2005,144,9122,9600000.0,2484186.0,4408011.0,Rotten,64.0
tt0356443,The Bridge of San Luis Rey,2004,120,3325,24000000.0,49981.0,1910546.0,Rotten,35.0
tt0112454,Bandwagon,1996,103,609,17000000.0,44544.0,44544.0,Fresh,91.0
tt0364120,Wild Side,2004,93,970,17000000.0,15355.0,15355.0,Fresh,80.0
tt0105681,Ultraviolet,1992,80,137,17000000.0,9051951.0,10371451.0,Rotten,30.0
tt0388230,Malevolence,2004,90,3070,200000.0,127287.0,258782.0,Rotten,83.0
tt0382019,Eternal,2004,107,1272,17000000.0,28089.0,28089.0,Rotten,39.0
tt0397103,Smile,2005,107,918,17000000.0,32833.0,32833.0,Rotten,66.0
tt0384488,Saint Ralph,2004,98,5826,4740000.0,489389.0,1881975.0,Fresh,85.0
tt0401244,The Baxter,2005,91,4569,17000000.0,181872.0,181872.0,Rotten,75.0
tt0291928,G,2002,97,653,17000000.0,3020784.0,3020784.0,Rotten,60.0
tt0480507,Alexander the Great,2006,80,205,17000000.0,9051951.0,10371451.0,Rotten,42.0
tt0418004,Neverwas,2005,103,6426,17000000.0,9051951.0,11246.0,Rotten,65.0
tt0429068,The Second Chance,2006,102,1243,1200000.0,463542.0,463542.0,Rotten,78.0
tt0392908,When Do We Eat?,2005,86,1392,17000000.0,431513.0,431513.0,Rotten,68.0
tt0424287,The Mostly Unfabulous Social Life of Ethan Green,2005,88,1952,17000000.0,153122.0,153122.0,Rotten,58.0
tt0135398,Dirty,1998,94,129,17000000.0,9051951.0,10371451.0,Rotten,42.0
tt0441796,Stay Alive,2006,85,29958,7000000.0,23086480.0,27298695.0,Rotten,55.0
tt0405676,All the King's Men,2006,128,23404,55000000.0,7221458.0,9451623.0,Certified-Fresh,78.0
tt0436607,The Motel,2005,75,1278,17000000.0,51540.0,51540.0,Fresh,64.0
tt0123240,Requiem,1998,100,152,117810.0,9051951.0,10371451.0,Fresh,66.0
tt0469519,Park,2006,86,1157,17000000.0,9051951.0,10371451.0,Rotten,48.0
tt0780461,The 4th Dimension,2006,82,176,75000.0,9051951.0,10371451.0,Fresh,31.0
tt0479647,"Bon Cop, Bad Cop",2006,117,11812,6320000.0,12665721.0,12735126.0,Fresh,82.0
tt0468548,The Situation,2006,111,802,1000000.0,48896.0,48896.0,Rotten,58.0
tt0893331,Four Sheets to the Wind,2007,81,533,17000000.0,9051951.0,10371451.0,Fresh,61.0
tt0490499,The Tiger's Tail,2006,107,1248,17000000.0,9051951.0,10371451.0,Rotten,30.0
tt0482527,It's a Boy Girl Thing,2006,95,38783,15500000.0,848.0,7385679.0,Fresh,61.0
tt0381601,Slipstream,2005,89,3196,17000000.0,9051951.0,10371451.0,Rotten,29.0
tt0253146,Interview,2000,107,182,17000000.0,9051951.0,10371451.0,Rotten,55.0
tt0811106,The Ten,2007,96,16209,5250000.0,769726.0,785528.0,Rotten,40.0
tt0949731,The Happening,2008,91,193156,48000000.0,64506874.0,163403799.0,Rotten,24.0
tt0796335,Molière,2007,120,5846,19040000.0,635733.0,10878867.0,Fresh,79.0
tt0452592,Borderland,2007,105,9335,17000000.0,97182.0,703399.0,Fresh,43.0
tt0964539,Pathology,2008,95,30956,8000000.0,109846.0,3234706.0,Rotten,39.0
tt0982922,Road to Victory,2007,99,294,17000000.0,9051951.0,10371451.0,Fresh,78.0
tt1014775,Beverly Hills Chihuahua,2008,91,22408,20000000.0,94514402.0,149292488.0,Rotten,52.0
tt0961108,Fireflies in the Garden,2008,120,12322,8000000.0,70600.0,6692182.0,Rotten,45.0
tt0406759,The Eye,2008,98,50924,12000000.0,31418697.0,58010320.0,Rotten,43.0
tt1046163,My Best Friend's Girl,2008,101,42133,20000000.0,19219250.0,41624687.0,Rotten,46.0
tt0445939,The Burrowers,2008,96,7588,7000000.0,9051951.0,10371451.0,Fresh,34.0
tt0805570,The Midnight Meat Train,2008,98,58939,15000000.0,83361.0,3534313.0,Fresh,50.0
tt0981072,The Lucky Ones,2008,115,13382,15000000.0,266967.0,287567.0,Rotten,54.0
tt0425413,Run Fatboy Run,2007,100,65041,10000000.0,6003262.0,33478921.0,Rotten,64.0
tt0473015,Closing Escrow,2007,93,479,600000.0,8719.0,8719.0,Rotten,36.0
tt0365929,Whiteout,2009,101,36885,35000000.0,10275638.0,17976667.0,Rotten,21.0
tt0466943,Randy and the Mob,2007,91,357,17000000.0,45410.0,45410.0,Rotten,39.0
tt0455915,Black Irish,2007,95,2442,3000000.0,6900.0,6900.0,Rotten,58.0
tt1024255,Wild Child,2008,98,48071,20000000.0,9051951.0,21972336.0,Rotten,61.0
tt1032819,Powder Blue,2009,106,13922,17000000.0,9051951.0,17835.0,Rotten,40.0
tt0822849,Rails & Ties,2007,101,3958,17000000.0,22136.0,22136.0,Rotten,58.0
tt0837796,House,2008,88,5519,2500000.0,575048.0,1141018.0,Rotten,27.0
tt0103920,Canvas,1992,90,106,17000000.0,9051951.0,10371451.0,Fresh,62.0
tt0986213,Aaja Nachle,2007,137,2858,17000000.0,484108.0,6773493.0,Fresh,72.0
tt1033643,What Happens in Vegas,2008,99,163171,35000000.0,80277646.0,219375562.0,Rotten,65.0
tt0800308,Appaloosa,2008,115,57677,20000000.0,20211394.0,27712362.0,Certified-Fresh,55.0
tt0436364,Good,2008,92,6758,15000000.0,27276.0,1552024.0,Rotten,32.0
tt0804505,Married Life,2007,91,8987,12000000.0,1507990.0,2888315.0,Rotten,36.0
tt0493395,Badland,2007,165,446,10000000.0,1924.0,25309.0,Rotten,54.0
tt0488604,The Oxford Murders,2008,104,27324,10000000.0,4803.0,17646627.0,Rotten,33.0
tt0880578,Untraceable,2008,101,46812,35000000.0,28687835.0,52933513.0,Rotten,52.0
